department,job,component_class,tools,commands
brokerage,Accessorial Agent,hybrid_agent,contract store; detention calculator; evidence store; policy,open_accessorial; submit_accessorial_evidence; record_accessorial_decision
brokerage,Allocation Agent,hybrid_agent,allocation scorer; policy; service history,record_allocation_proposal
brokerage,Carrier Pay/Reconciliation Agent,hybrid_agent,money engine; payment-status adapter; evidence,create_carrier_payable; record_carrier_payment_status; open_pay_discrepancy
brokerage,Carrier Qualification Agent,hybrid_agent,authority adapter; credential/insurance adapters; fraud signals; policy,record_carrier_qualification; place_carrier_hold; request_qualification_review
brokerage,Carrier Sourcing Agent,agent,tenant-scoped read model; BOT retrieval; policy query; evidence retrieval; approved communications gateway; carrier network; approved sourcing adapters,invite_carrier_interest; record_carrier_candidate
brokerage,Claims/Evidence Agent,human_supervised_agent,tenant-scoped read model; BOT retrieval; policy query; evidence retrieval; approved communications gateway; claims case manager,open_claim_case; request_claim_evidence; record_claim_outcome
brokerage,Compliance Supervisor Agent,human_supervised_agent,authority/financial-responsibility adapters; record audit; policy,place_brokerage_hold; open_compliance_case; request_human_compliance_decision
brokerage,Broker Configuration Steward,human_supervised_agent,tenant-scoped read model; BOT retrieval; policy query; evidence retrieval; approved communications gateway; configuration registry,propose_configuration_change; request_recertification
brokerage,Broker Documentation Agent,hybrid_agent,tenant-scoped read model; BOT retrieval; policy query; evidence retrieval; approved communications gateway; document store,record_broker_document_requirement; request_document
brokerage,Facility Coordination Agent,agent,FreightOS network; FacilityOS adapter; communications,request_appointment; request_facility_update
brokerage,Margin Risk Service,deterministic_service,deterministic money engine,record_margin_snapshot; raise_margin_breach
brokerage,Broker Negotiation Agent,agent,tenant-scoped read model; BOT retrieval; policy query; evidence retrieval; approved communications gateway; pricing/margin engine; negotiation state,send_broker_counter; record_negotiated_terms
brokerage,Brokerage Operations Orchestrator,agent,tenant-scoped read model; BOT retrieval; policy query; evidence retrieval; approved communications gateway; brokerage work queue,assign_brokerage_work; set_priority; open_escalation
brokerage,Customer/Carrier Relationship Support Agent,agent,tenant-scoped read model; BOT retrieval; policy query; evidence retrieval; approved communications gateway; CRM,send_relationship_message; record_feedback; open_relationship_task
brokerage,Requirements Agent,agent,tenant-scoped read model; BOT retrieval; policy query; evidence retrieval; approved communications gateway; contract/routing-guide retrieval,record_requirements; request_requirement_clarification
brokerage,Broker Shipment Execution Agent,agent,tenant-scoped read model; BOT retrieval; policy query; evidence retrieval; approved communications gateway; network subscriptions,publish_broker_status; request_counterparty_update; open_broker_exception
brokerage,Shipper Billing Agent,hybrid_agent,money engine; accounting adapter; evidence,create_shipper_invoice; export_shipper_invoice
brokerage,Shipper Intake Agent,hybrid_agent,tenant-scoped read model; BOT retrieval; policy query; evidence retrieval; approved communications gateway; email/API/EDI intake,record_rfq; request_shipper_clarification
brokerage,Shipper Pricing Agent,hybrid_agent,pricing engine; market data; policy; communications,send_shipper_quote; expire_quote; record_quote_acceptance
brokerage,Tender/Booking Agent,hybrid_agent,tender API/EDI; policy; booking service,send_carrier_tender; bind_carrier_assignment; withdraw_tender
brokerage,Tracking/Communication Agent,hybrid_agent,tenant-scoped read model; BOT retrieval; policy query; evidence retrieval; approved communications gateway; network event feed,send_status_update; record_broker_status
brokerage,Broker Transaction Record Service,deterministic_service,transaction ledger; record-access policy,create_broker_transaction_record; export_authorized_transaction_record
