graph_id,node_id,state,owner,side_effect_class,timeout,retry_policy,failure_transition
REV-G01,R1_DISCOVER,DISCOVERED,Account Intelligence Agent,none,PT15M,none,HOLD
REV-G01,R2_DEDUPE,IDENTITY_RESOLVED,CRM/Opportunity Steward,none,PT15M,none,HOLD
REV-G01,R3_ELIGIBILITY,OUTREACH_ELIGIBILITY,Commercial Compliance Guard,none,PT15M,none,HOLD
REV-G01,R4_CONTACT,OUTREACH_SENT,Prospecting Agent,external_communication,PT30M,bounded_retry,R3_ELIGIBILITY
REV-G01,R5_RESPONSE,RESPONSE_CAPTURED,CRM/Opportunity Steward,none,PT15M,none,HOLD
REV-G01,R6_ROUTE,ROUTED,Revenue Operations Orchestrator,none,PT15M,none,HOLD
REV-G02,Q1_INTAKE,QUALIFICATION_INTAKE,Qualification Service,none,PT15M,none,HOLD
REV-G02,Q2_RESEARCH,ACCOUNT_CONTEXT,Account Intelligence Agent,none,PT15M,none,HOLD
REV-G02,Q3_SCORE,FIT_SCORED,Qualification Service,none,PT15M,none,HOLD
REV-G02,Q4_DISCOVERY,DISCOVERY_CAPTURED,Discovery Copilot,none,PT15M,none,HOLD
REV-G02,Q5_VALIDATE,DISCOVERY_VALIDATED,Commercial Compliance Guard,none,PT15M,none,HOLD
REV-G02,Q6_HANDOFF,CONFIGURATION_READY,Revenue Operations Orchestrator,none,PT15M,none,HOLD
REV-G03,S1_MAP,NEED_MAP,Solution Configuration Agent,none,PT15M,none,HOLD
REV-G03,S2_CATALOG,CATALOG_MATCHED,Solution Configuration Agent,none,PT15M,none,HOLD
REV-G03,S3_DEPENDENCY,DEPENDENCIES_RESOLVED,Revenue Operations Orchestrator,none,PT15M,none,HOLD
REV-G03,S4_GAPS,GAPS_CLASSIFIED,Solution Configuration Agent,none,PT15M,none,HOLD
REV-G03,S5_ROI,ROI_SCENARIO,ROI Engine,none,PT15M,none,HOLD
REV-G03,S6_REVIEW,SOLUTION_REVIEWED,Commercial Compliance Guard,none,PT15M,none,HOLD
REV-G03,S7_OUTPUT,SOLUTION_PROPOSED,Solution Configuration Agent,none,PT15M,none,HOLD
REV-G04,P1_PRICE,PRICED,Pricing Engine,none,PT15M,none,HOLD
REV-G04,P2_DISCOUNT,DISCOUNT_ROUTED,Deal Desk Coordinator,none,PT15M,none,HOLD
