graph_id,from,to,artifact,guard,authority_check,stale_invalidation
REV-G01,R1_DISCOVER,R2_DEDUPE,AccountCandidate,true,none,on material input/version change
REV-G01,R2_DEDUPE,R3_ELIGIBILITY,CanonicalAccount,true,none,on material input/version change
REV-G01,R3_ELIGIBILITY,R4_CONTACT,OutreachAuthorization,decision=ALLOW,commercial_outreach_policy,on material input/version change
REV-G01,R4_CONTACT,R5_RESPONSE,CommunicationResult,true,none,on material input/version change
REV-G01,R5_RESPONSE,R6_ROUTE,ProspectIntent,true,none,on material input/version change
REV-G02,Q1_INTAKE,Q2_RESEARCH,QualificationEvidenceRequest,true,none,on material input/version change
REV-G02,Q2_RESEARCH,Q3_SCORE,AccountBrief,true,none,on material input/version change
REV-G02,Q3_SCORE,Q4_DISCOVERY,QualificationDecision,"decision in [QUALIFIED,REVIEW]",none,on material input/version change
REV-G02,Q4_DISCOVERY,Q5_VALIDATE,DiscoveryRecord,true,none,on material input/version change
REV-G02,Q5_VALIDATE,Q6_HANDOFF,ValidatedDiscovery,status=PASS,none,on material input/version change
REV-G03,S1_MAP,S2_CATALOG,NeedCapabilityMap,true,none,on material input/version change
REV-G03,S2_CATALOG,S3_DEPENDENCY,CatalogSelection,true,none,on material input/version change
REV-G03,S3_DEPENDENCY,S4_GAPS,DependencyMap,true,none,on material input/version change
REV-G03,S4_GAPS,S5_ROI,SupportedSolution,true,none,on material input/version change
REV-G03,S5_ROI,S6_REVIEW,ROIScenario,true,none,on material input/version change
REV-G03,S6_REVIEW,S7_OUTPUT,SolutionReviewResult,status=PASS,commercial_solution_policy,on material input/version change
REV-G04,P1_PRICE,P2_DISCOUNT,PriceResult,true,none,on material input/version change
REV-G04,P2_DISCOUNT,P3_PROMISE,ApprovedCommercialTerms,approved=true,discount_authority,on material input/version change
REV-G04,P3_PROMISE,P4_SECURITY,PromiseCheckResult,status=PASS,none,on material input/version change
REV-G04,P4_SECURITY,P5_ASSEMBLE,AssuranceResponseSet,required_reviews_complete=true,none,on material input/version change
REV-G04,P5_ASSEMBLE,P6_SEND,ProposalPackage,proposal_version_current=true,seller_send_authority,on material input/version change
REV-G04,P6_SEND,P7_DECISION,ProposalDeliveryResult,true,none,on material input/version change
REV-G05,D1_REGISTER,D2_COLLISION,DealRegistrationCandidate,true,none,on material input/version change
REV-G05,D2_COLLISION,D3_POLICY,AttributionCollisionReport,true,none,on material input/version change
REV-G05,D3_POLICY,D4_COMMIT,DealRegistrationDecision,decision=ALLOW,partner_deal_registration_policy,on material input/version change
REV-G05,D4_COMMIT,D5_ROUTE,DealRegistration,true,none,on material input/version change
REV-G06,I1_ACCEPT,I2_ENTITLE,AcceptedOffer,true,none,on material input/version change
REV-G06,I2_ENTITLE,I3_PACKAGE,EntitlementIntent,true,none,on material input/version change
REV-G06,I3_PACKAGE,I4_VALIDATE,ImplementationHandoff,true,none,on material input/version change
REV-G06,I4_VALIDATE,I5_TRANSFER,ValidatedImplementationHandoff,status=PASS,handoff_authority,on material input/version change
REV-G06,I5_TRANSFER,I6_ACK,ImplementationReceipt,true,none,on material input/version change
REV-G07,E1_SIGNAL,E2_RELEVANCE,ExpansionSignal,true,none,on material input/version change
REV-G07,E2_RELEVANCE,E3_CONSENT,ExpansionRecommendation,true,none,on material input/version change
REV-G07,E3_CONSENT,E4_DISCOVERY,OutreachAuthorization,decision=ALLOW,none,on material input/version change
REV-G07,E4_DISCOVERY,E5_REENTER,DiscoveryRecord,true,none,on material input/version change
REV-G08,C1_EVENT,C2_PLAN,EligibleRevenueEvent,true,none,on material input/version change
REV-G08,C2_PLAN,C3_ATTRIB,CommissionPlanRef,true,none,on material input/version change
REV-G08,C3_ATTRIB,C4_CALC,AttributionSnapshot,true,none,on material input/version change
REV-G08,C4_CALC,C5_HOLD,CommissionCalculation,true,none,on material input/version change
REV-G08,C5_HOLD,C6_APPROVE,PayoutEligibility,status=ELIGIBLE,commission_policy,on material input/version change
REV-G08,C6_APPROVE,C7_RECORD,FinanceAuthorization,approved=true,finance_authority,on material input/version change
REV-G08,C7_RECORD,C8_RECON,PayoutRecord,true,none,on material input/version change
FMI-G01,F1_SOURCE,F2_FETCH,SourceAuthorization,status=ACTIVE,source_rights,on material input/version change
FMI-G01,F2_FETCH,F3_INGEST,IngestRequest,true,none,on material input/version change
FMI-G01,F3_INGEST,F4_VALIDATE,EvidenceEnvelope,true,none,on material input/version change
FMI-G01,F4_VALIDATE,F5_NORMALIZE,ValidatedEvidence,status=VALID,none,on material input/version change
FMI-G01,F5_NORMALIZE,F6_PUBLISH,MarketObservation,true,none,on material input/version change
