department,from_job,to_job,contract
brokerage,Accessorial Agent,Shipper Billing Agent,typed Handoff/Request/Proposal; receiver validates before ownership transfer
brokerage,Accessorial Agent,Carrier Pay/Reconciliation Agent,typed Handoff/Request/Proposal; receiver validates before ownership transfer
brokerage,Allocation Agent,Tender/Booking Agent,typed Handoff/Request/Proposal; receiver validates before ownership transfer
brokerage,Carrier Pay/Reconciliation Agent,Finance/Payment System,typed Handoff/Request/Proposal; receiver validates before ownership transfer
brokerage,Carrier Qualification Agent,Broker Negotiation Agent,typed Handoff/Request/Proposal; receiver validates before ownership transfer
brokerage,Carrier Qualification Agent,Allocation Agent,typed Handoff/Request/Proposal; receiver validates before ownership transfer
brokerage,Carrier Qualification Agent,Compliance Supervisor Agent,typed Handoff/Request/Proposal; receiver validates before ownership transfer
brokerage,Carrier Sourcing Agent,Carrier Qualification Agent,typed Handoff/Request/Proposal; receiver validates before ownership transfer
brokerage,Claims/Evidence Agent,Human Claims/Legal,typed Handoff/Request/Proposal; receiver validates before ownership transfer
brokerage,Compliance Supervisor Agent,Human Compliance,typed Handoff/Request/Proposal; receiver validates before ownership transfer
brokerage,Compliance Supervisor Agent,Brokerage Operations Orchestrator,typed Handoff/Request/Proposal; receiver validates before ownership transfer
brokerage,Broker Configuration Steward,Human Admin/Architecture,typed Handoff/Request/Proposal; receiver validates before ownership transfer
brokerage,Broker Documentation Agent,Accessorial Agent,typed Handoff/Request/Proposal; receiver validates before ownership transfer
brokerage,Broker Documentation Agent,Shipper Billing Agent,typed Handoff/Request/Proposal; receiver validates before ownership transfer
brokerage,Broker Documentation Agent,Carrier Pay/Reconciliation Agent,typed Handoff/Request/Proposal; receiver validates before ownership transfer
brokerage,Facility Coordination Agent,FacilityOS,typed Handoff/Request/Proposal; receiver validates before ownership transfer
brokerage,Facility Coordination Agent,Tracking/Communication Agent,typed Handoff/Request/Proposal; receiver validates before ownership transfer
brokerage,Margin Risk Service,Allocation Agent,typed Handoff/Request/Proposal; receiver validates before ownership transfer
brokerage,Margin Risk Service,Compliance Supervisor Agent,typed Handoff/Request/Proposal; receiver validates before ownership transfer
brokerage,Broker Negotiation Agent,Allocation Agent,typed Handoff/Request/Proposal; receiver validates before ownership transfer
brokerage,Broker Negotiation Agent,Tender/Booking Agent,typed Handoff/Request/Proposal; receiver validates before ownership transfer
brokerage,Brokerage Operations Orchestrator,Shipper Intake Agent,typed Handoff/Request/Proposal; receiver validates before ownership transfer
brokerage,Brokerage Operations Orchestrator,Shipper Pricing Agent,typed Handoff/Request/Proposal; receiver validates before ownership transfer
brokerage,Brokerage Operations Orchestrator,Carrier Sourcing Agent,typed Handoff/Request/Proposal; receiver validates before ownership transfer
brokerage,Brokerage Operations Orchestrator,Broker Shipment Execution Agent,typed Handoff/Request/Proposal; receiver validates before ownership transfer
brokerage,Brokerage Operations Orchestrator,Compliance Supervisor Agent,typed Handoff/Request/Proposal; receiver validates before ownership transfer
brokerage,Requirements Agent,Shipper Pricing Agent,typed Handoff/Request/Proposal; receiver validates before ownership transfer
